#time, unixtime, spillnum, POT
2025/11/29/22:49, 1764424175, 6398345, 201155132204576.3
2025/11/29/22:49, 1764424176, 6398346, 201137743762739.8
2025/11/29/22:49, 1764424178, 6398347, 201041255969766.1
2025/11/29/22:49, 1764424179, 6398348, 200807440764496.3
2025/11/29/22:49, 1764424181, 6398349, 201021248942107.1
2025/11/29/22:49, 1764424182, 6398350, 201395035944377.5
2025/11/29/22:49, 1764424183, 6398351, 200948354220437.6
2025/11/29/22:49, 1764424185, 6398352, 200595851290145.9
2025/11/29/22:49, 1764424186, 6398353, 201088867793812.6
2025/11/29/22:49, 1764424187, 6398354, 201347449919205.3
2025/11/29/22:49, 1764424189, 6398355, 200677104847355.4
2025/11/29/22:49, 1764424190, 6398356, 200746400625947.3
2025/11/29/22:49, 1764424191, 6398357, 200821397955938.2
2025/11/29/22:49, 1764424193, 6398358, 200763543978467.1
2025/11/29/22:49, 1764424194, 6398359, 200601152958983.8
2025/11/29/22:49, 1764424195, 6398360, 200640289852552.5
2025/11/29/22:49, 1764424197, 6398361, 200054964973680.9
2025/11/29/22:49, 1764424198, 6398362, 200263497281327.8
2025/11/29/22:50, 1764424200, 6398363, 200513668973429.5
2025/11/29/22:50, 1764424201, 6398364, 201014954016575.2
2025/11/29/22:50, 1764424202, 6398365, 201273729633531.5
2025/11/29/22:50, 1764424204, 6398366, 200887881657139.4
2025/11/29/22:50, 1764424205, 6398367, 201468317649173.3
2025/11/29/22:50, 1764424206, 6398368, 200791884042794.3
2025/11/29/22:50, 1764424208, 6398369, 200684302733516.2
2025/11/29/22:50, 1764424209, 6398370, 201031194408467.2
2025/11/29/22:50, 1764424210, 6398371, 200729824848678.7
2025/11/29/22:50, 1764424212, 6398372, 201117878628892.4
2025/11/29/22:50, 1764424213, 6398373, 200855542767168
2025/11/29/22:50, 1764424215, 6398374, 200803067855162.7
2025/11/29/22:50, 1764424216, 6398375, 200937557391196.8
2025/11/29/22:50, 1764424217, 6398376, 200076739224288.8
2025/11/29/22:50, 1764424219, 6398377, 200575418581044.6
2025/11/29/22:50, 1764424220, 6398378, 200801829509155.1
2025/11/29/22:50, 1764424221, 6398379, 201013302888567.2
2025/11/29/22:50, 1764424223, 6398380, 200788723680592.2
2025/11/29/22:50, 1764424224, 6398381, 200732043551937.3
2025/11/29/22:50, 1764424225, 6398382, 200745136481066.1
2025/11/29/22:50, 1764424227, 6398383, 200646558979205.9
2025/11/29/22:50, 1764424228, 6398384, 200797366303758.4
2025/11/29/22:50, 1764424229, 6398385, 200281504896165.8
2025/11/29/22:50, 1764424231, 6398386, 200853465957721.4
2025/11/29/22:50, 1764424232, 6398387, 200486722048360.7
2025/11/29/22:50, 1764424234, 6398388, 200441406324200.5
2025/11/29/22:50, 1764424235, 6398389, 201066487269641.1
2025/11/29/22:50, 1764424236, 6398390, 200849789618015.2
2025/11/29/22:50, 1764424238, 6398391, 200897465939250
2025/11/29/22:50, 1764424239, 6398392, 200584680377216.2
2025/11/29/22:50, 1764424240, 6398393, 199630689572788.8
2025/11/29/22:50, 1764424242, 6398394, 200213860245585.7
2025/11/29/22:50, 1764424243, 6398395, 200445701836910.6
2025/11/29/22:50, 1764424244, 6398396, 200793354578677.4
2025/11/29/22:50, 1764424246, 6398397, 200624217153347.9
2025/11/29/22:50, 1764424247, 6398398, 201042184729272.7
2025/11/29/22:50, 1764424249, 6398399, 201114744065564.6
2025/11/29/22:50, 1764424250, 6398400, 200787433736835.1
2025/11/29/22:50, 1764424251, 6398401, 200890100360400.9
2025/11/29/22:50, 1764424253, 6398402, 201312853627660.4
2025/11/29/22:50, 1764424254, 6398403, 201320064413258.3
2025/11/29/22:50, 1764424255, 6398404, 200261562365693.4
2025/11/29/22:50, 1764424257, 6398405, 200687695285595.5
2025/11/29/22:50, 1764424258, 6398406, 200780081057424.6
2025/11/29/22:50, 1764424259, 6398407, 200610904933782.9
2025/11/29/22:51, 1764424261, 6398408, 200636045937592.7
2025/11/29/22:51, 1764424262, 6398409, 200198548613197.3
2025/11/29/22:51, 1764424263, 6398410, 200871138187182.5
2025/11/29/22:51, 1764424265, 6398411, 200857116498550.6
2025/11/29/22:51, 1764424266, 6398412, 200495893548467.5
2025/11/29/22:51, 1764424268, 6398413, 200758293907380.6
2025/11/29/22:51, 1764424269, 6398414, 200987865197692.3
2025/11/29/22:51, 1764424270, 6398415, 200889481187398.9
2025/11/29/22:51, 1764424272, 6398416, 200276370920017.3
2025/11/29/22:51, 1764424273, 6398417, 201189522105118.8
2025/11/29/22:51, 1764424274, 6398418, 200367182960461.2
2025/11/29/22:51, 1764424276, 6398419, 201166638502881.3
2025/11/29/22:51, 1764424277, 6398420, 200945800131800.5
2025/11/29/22:51, 1764424278, 6398421, 200537765122799.8
2025/11/29/22:51, 1764424280, 6398422, 200706786453190.9
2025/11/29/22:51, 1764424281, 6398423, 201081115231837.4
2025/11/29/22:51, 1764424283, 6398424, 201215320980245.3
2025/11/29/22:51, 1764424284, 6398425, 201177061248432.4
2025/11/29/22:51, 1764424285, 6398426, 200106717517185.6
2025/11/29/22:51, 1764424287, 6398427, 200656001367504.1
2025/11/29/22:51, 1764424288, 6398428, 201238875353237.2
2025/11/29/22:51, 1764424289, 6398429, 200698001936209.7
2025/11/29/22:51, 1764424291, 6398430, 201044338935345
2025/11/29/22:51, 1764424292, 6398431, 200324408425502
2025/11/29/22:51, 1764424293, 6398432, 200803725726478.7
2025/11/29/22:51, 1764424295, 6398433, 200814935337719.3
2025/11/29/22:51, 1764424296, 6398434, 200492836381764.4
2025/11/29/22:51, 1764424297, 6398435, 200647436140961.9
2025/11/29/22:51, 1764424299, 6398436, 200722807554643.2
2025/11/29/22:51, 1764424300, 6398437, 201665808038267.6
2025/11/29/22:51, 1764424302, 6398438, 200023748334777.2
2025/11/29/22:51, 1764424303, 6398439, 200954416956091.9
2025/11/29/22:51, 1764424304, 6398440, 200935261291309.1
2025/11/29/22:51, 1764424306, 6398441, 200912945264324.6
2025/11/29/22:51, 1764424307, 6398442, 200767452508048.8
2025/11/29/22:51, 1764424308, 6398443, 200775334064401.9
2025/11/29/22:51, 1764424310, 6398444, 200744323816499.8
2025/11/29/22:51, 1764424311, 6398445, 200775617852027.2
2025/11/29/22:51, 1764424312, 6398446, 200791071378228
2025/11/29/22:51, 1764424314, 6398447, 201124289649363.3
2025/11/29/22:51, 1764424315, 6398448, 201082572868283.2
2025/11/29/22:51, 1764424317, 6398449, 200110600247892.5
2025/11/29/22:51, 1764424318, 6398450, 200892177169848.8
2025/11/29/22:51, 1764424319, 6398451, 201191792406129.8
2025/11/29/22:52, 1764424321, 6398452, 200533095526400.6
2025/11/29/22:52, 1764424322, 6398453, 200987620108378.5
2025/11/29/22:52, 1764424323, 6398454, 201060424533987.2
2025/11/29/22:52, 1764424325, 6398455, 200909655907748.4
2025/11/29/22:52, 1764424326, 6398456, 200996997999487.1
2025/11/29/22:52, 1764424327, 6398457, 200749225602771.8
2025/11/29/22:52, 1764424329, 6398458, 200000748637602.8
2025/11/29/22:52, 1764424330, 6398459, 200628577163242.4
2025/11/29/22:52, 1764424331, 6398460, 201084288493477.6
2025/11/29/22:52, 1764424333, 6398461, 201107726771530
2025/11/29/22:52, 1764424334, 6398462, 201433901949755.1
2025/11/29/22:52, 1764424336, 6398463, 201228568702622.4
2025/11/29/22:52, 1764424337, 6398464, 200920555932487.9
2025/11/29/22:52, 1764424338, 6398465, 201649941730065.5
2025/11/29/22:52, 1764424340, 6398466, 201025312264939.3
